2021-05-14,2021-05-16,232447;232449;232450;10004152;233842;233839,Yosemite & riversides
2021-09-03,2021-09-06,232447;232449;232450;10004152,Yosemite valley only
2021-09-05,2021-09-06,232447;232449;232450;10004152,Yosemite valley only
